speaker	vowel	context	F1	F2	F3	gl.F1	gl.F2	gl.F3
Bryant+McArthur	AE	GRANDFATHER	972.9	2211.8	3893.9	NA	NA	NA
Bryant+McArthur	AA	GRANDFATHER	767.9	1119.3	1425.8	NA	NA	NA
Bryant+McArthur	AE	PASSAGE	850.4	1374	2376.9	NA	NA	NA
Bryant+McArthur	AH	US	348.7	1306.8	2416.9	NA	NA	NA
Bryant+McArthur	UW	TO	335	1726.4	2598.3	NA	NA	NA
Bryant+McArthur	OW	KNOW	748.1	1687.9	2624.7	NA	NA	NA
Bryant+McArthur	AO	ALL	710	1007.3	2400.3	NA	NA	NA
Bryant+McArthur	AW	ABOUT	710.1	1235.5	2461.5	NA	NA	NA
Bryant+McArthur	AY	MY	660	1267.1	2380.8	NA	NA	NA
Bryant+McArthur	AE	GRANDFATHER	992.2	2036.6	3578.4	NA	NA	NA
Bryant+McArthur	AA	GRANDFATHER	762.8	1033.9	2288.6	NA	NA	NA
Bryant+McArthur	EH	WELL	614.5	1374	2510.6	NA	NA	NA
Bryant+McArthur	IY	HE	327.2	2244.7	2919.8	NA	NA	NA
Bryant+McArthur	IH	IS	338.8	2062.5	2545.6	NA	NA	NA
Bryant+McArthur	IH	NEARLY	416.4	2141.3	2536.8	NA	NA	NA
Bryant+McArthur	AY	NINETY	737.7	1768.4	2532.1	NA	NA	NA
Bryant+McArthur	IY	THREE	360.5	2189.5	3913.1	NA	NA	NA
Bryant+McArthur	IH	YEARS	405.6	2154.9	3815.5	NA	NA	NA
Bryant+McArthur	OW	OLD	510.2	1157.3	2633.7	NA	NA	NA
Bryant+McArthur	IY	HE	300.2	2247.3	2941	NA	NA	NA
Bryant+McArthur	EH	DRESSES	731	1776.4	2562.7	NA	NA	NA
Bryant+McArthur	EH	HIMSELF	533.5	1460.5	2141.7	NA	NA	NA
Bryant+McArthur	EY	ANCIENT	474.4	2291.9	2951.6	NA	NA	NA
Bryant+McArthur	AE	BLACK	806.7	1295.1	1560.6	NA	NA	NA
